pid,born,age,gender,race,grade,tertiary,province,dweltyp,no_reside,water,elect,work_feb,emdays_feb,emhrs_feb,feb_pay_pure,feb_pay,work_apr,apr_return,worktype,work_code,emdays_apr,emhrs_apr,apr_pay_pure,apr_pay,uif_ters,work_seek,last_seek,hh_childgrant,any_childgrant,hh_govpen,any_govpen,grant_rec,grantyp1,grantyp2,grantyp3,hhincsource1,hhincsource2,hhincsource3,hhincdec1,hhincdec2,hhincdec3,apr_hh_inc,hh_inc_lost,nomoneyfood,7dayshungry,chldcr,time_chldcr,kids_in_school,ed_books,edtv,edradio,edonline,suppgov,suppngo,suppcom
304550,1988,32,male,african,12,no,north west,house/flat,6,yes,yes,no,5.0,8.0,2000,,no,no,,,,,,,,no,within last month,2.0,,1.0,,no,,,,government grants,,,from government grants,,,3000.0,no,no,no,no,,2.0,yes,yes,yes,no,yes,no,yes
304552,1960,60,female,african,8,,free state,house/flat,3,yes,yes,yes,5.0,8.0,4200,,yes,,regular job,professionals,3.0,4.0,4200.0,,no,,,1.0,,0.0,,no,,,,employment,government grants,,no income decrease,,,4600.0,no,yes,no,yes,3-4 hours,1.0,yes,,,,no,no,no
304555,1975,45,female,african,11,no,free state,house/flat,7,yes,yes,yes,4.0,12.0,5000,,yes,,regular job,service & sales,4.0,12.0,5200.0,,no,,,3.0,,1.0,,no,,,,employment,,,no income decrease,,,10000.0,no,no,no,no,,3.0,yes,no,no,no,no,no,no
304556,1990,30,female,african,9,no,gauteng,house/flat,2,yes,yes,yes,5.0,5.0,8,,yes,,regular job,,5.0,8.0,2900.0,,no,,,3.0,,0.0,,no,,,,no income,,,no income decrease,,,,no,yes,no,,,,,,,,no,no,no
304558,1980,40,female,african,9,no,north west,informal,4,no,no,no,,,,,no,no,,,,,,,,no,1-6 months ago,2.0,,0.0,,no,,,,employment,government grants,,from government grants,,,980.0,yes,yes,yes,no,,2.0,no,no,yes,no,no,no,no
304560,1945,75,female,african,no schooling,,north west,house/flat,3,yes,yes,retired,,,,,,,,,,,,,,,,0.0,,1.0,,yes,pension,,,government grants,,,no income decrease,,,2000.0,no,yes,yes,yes,over 4 hours more,2.0,yes,yes,yes,no,no,no,no
304562,1973,47,male,african,12,yes,north west,house/flat,4,yes,yes,yes,7.0,14.0,10000,,no,no,,,,,,,,no,1-6 months ago,3.0,,0.0,,no,,,,employment,,,from employment,,,,yes,no,no,yes,over 4 hours more,0.0,no,no,,,no,no,no
304566,1972,48,female,african,7,,northern cape,house/flat,11,yes,yes,no,,,,,no,no,,,,,,,,,,4.0,,1.0,,no,,,,government grants,,,from employment,,,2000.0,yes,yes,no,yes,over 4 hours more,2.0,yes,yes,yes,yes,no,no,no
304573,1976,44,female,african,12,no,north west,house/flat,5,yes,yes,yes,5.0,8.0,4000,,yes,,regular job,professionals,5.0,3.0,0.0,,applied still waiting,,,0.0,,0.0,,no,,,,friends/family,,,from employment,,,4000.0,yes,no,no,yes,over 4 hours more,2.0,yes,yes,yes,yes,no,no,no
304579,1946,74,male,coloured,10,no,western cape,house/flat,4,yes,yes,retired,,,,,,,,,,,,,,,,0.0,,2.0,,yes,pension,,,government grants,,,no income,,,5500.0,no,yes,no,,,,,,,,no,no,no
304580,1973,47,male,african,12,yes,north west,house/flat,1,yes,yes,yes,6.0,8.0,16000,,yes,,regular job,clerical support,6.0,8.0,5100.0,,no,,,0.0,,0.0,,no,,,,employment,,,no income decrease,,,5100.0,no,no,no,no,,0.0,,,,,no,no,no
304593,1963,57,female,african,2,,north west,house/flat,8,yes,yes,no,,,,,no,no,,,,,,,,no,>1 year ago,3.0,,0.0,,no,,,,employment,government grants,,from employment,,,,yes,yes,yes,yes,over 4 hours more,2.0,yes,yes,yes,,no,no,no
304595,1983,37,female,african,10,no,north west,house/flat,12,yes,yes,yes,5.0,13.0,3200,,no,no,,,,,,,,no,1-6 months ago,4.0,,0.0,,no,,,,friends/family,,,from employment,,,5000.0,yes,yes,no,yes,over 4 hours more,2.0,yes,yes,yes,no,no,no,no
304597,1989,31,female,african,12,no,north west,house/flat,6,yes,yes,yes,5.0,8.0,3800,,yes,,regular job,service & sales,,,4450.0,,no,,,3.0,,0.0,,no,,,,employment,government grants,,from employment,,,6300.0,yes,yes,yes,yes,over 4 hours more,1.0,yes,yes,yes,no,no,no,no
304604,1972,48,female,african,10,no,northern cape,informal,6,yes,no,no,,,,,no,no,,,,,,,,,,4.0,,0.0,,no,,,,government grants,,,no income,,,3800.0,yes,yes,no,yes,over 4 hours more,3.0,yes,yes,no,no,yes,yes,no
304606,1985,35,male,african,11,no,northern cape,traditional,5,yes,yes,no,,,,,yes,,,technicians & assoc prof,5.0,9.0,,,no,,,0.0,,0.0,,no,,,,no income,,,no income decrease,,,,yes,yes,no,yes,over 4 hours more,2.0,yes,yes,no,no,no,no,no
304612,1990,30,male,african,12,yes,northern cape,house/flat,4,yes,yes,yes,5.0,8.0,4000,,no,yes,regular job,service & sales,,,0.0,,yes,,,2.0,,1.0,,no,,,,employment,government grants,,from employment,from government grants,,3000.0,no,yes,no,yes,over 4 hours more,3.0,yes,yes,yes,yes,yes,no,no
304616,1986,34,female,coloured,12,no,northern cape,house/flat,5,yes,yes,retired,,,,,,,,,,,,,,,,2.0,,1.0,,no,,,,government grants,,,no income decrease,,,,no,yes,no,yes,over 4 hours more,4.0,yes,no,no,no,yes,yes,no
304617,1987,33,female,african,12,no,northern cape,house/flat,8,no,yes,yes,,,,"R6,001-R12,000",yes,,regular job,elementary occup,6.0,10.0,8400.0,,no,,,0.0,,0.0,,no,,,,employment,,,no income decrease,,,8400.0,no,no,yes,yes,over 4 hours more,2.0,yes,yes,yes,yes,no,no,no
304623,1973,47,male,african,11,no,northern cape,house/flat,3,yes,yes,no,1.0,6.0,300,,no,no,,,,,,,,yes,1-6 months ago,1.0,,0.0,,no,,,,friends/family,,,no income decrease,,,500.0,yes,yes,yes,yes,over 4 hours more,0.0,no,no,no,no,no,no,no
304634,1987,33,female,african,12,no,northern cape,house/flat,4,yes,yes,no,,,,,no,no,,,,,,,,no,6-12 months ago,1.0,,0.0,,no,,,,employment,,,no income decrease,,,2140.0,no,no,no,yes,over 4 hours more,1.0,no,no,no,no,yes,yes,no
304638,1967,53,male,coloured,10,no,northern cape,house/flat,9,yes,yes,yes,5.0,8.0,6100,,yes,,casual work,service & sales,5.0,8.0,,,no,,,3.0,,0.0,,no,,,,employment,,,no income,,,6150.0,no,yes,yes,yes,over 4 hours more,3.0,yes,no,yes,no,no,yes,yes
304650,1970,50,male,african,7,,northern cape,informal,6,yes,no,yes,5.0,9.0,6000,,no,no,,,,,,,,,,2.0,,1.0,,no,,,,employment,,,no income,,,6000.0,no,no,no,yes,over 4 hours more,2.0,yes,yes,yes,yes,no,no,no
304665,1975,45,male,african,11,no,northern cape,house/flat,6,yes,yes,no,,,,,no,no,,,,,,,,yes,>1 year ago,1.0,,1.0,,yes,disability,,,government grants,,,from government grants,,,4000.0,no,no,yes,yes,over 4 hours more,0.0,no,,,,no,no,no
304666,1961,59,male,coloured,4,,northern cape,house/flat,3,yes,yes,no,,,,,no,no,,,,,,,,,,0.0,,0.0,,no,,,,,,,no income decrease,,,0.0,no,no,no,,,,,,,,no,no,no
304675,1991,29,female,coloured,12,no,northern cape,house/flat,4,yes,yes,yes,5.0,8.0,2900,,yes,,casual work,,5.0,8.0,2900.0,,no,,,2.0,,0.0,,no,,,,employment,,,from employment,from government grants,,3800.0,no,yes,no,yes,over 4 hours more,2.0,no,yes,yes,no,no,no,no
304680,1944,76,female,african,no schooling,,northern cape,house/flat,7,no,yes,no,,,,,no,no,,,,,,,,yes,never worked,3.0,,1.0,,yes,child support,pension,foster child care,government grants,,,no income decrease,,,,yes,yes,no,no,,1.0,no,no,no,no,yes,no,no
304684,1954,66,male,african,12,no,eastern cape,house/flat,9,no,yes,retired,,,,,,,,,,,,,,,,0.0,,1.0,,no,,,,government grants,,,from government grants,,,1950.0,no,yes,yes,yes,over 4 hours more,3.0,yes,yes,yes,yes,no,no,no
304685,1971,49,male,african,12,no,gauteng,house/flat,1,yes,yes,yes,5.0,8.0,11000,,yes,,self-employed,,,,,,,,,0.0,,0.0,,no,,,,employment,,,no income decrease,,,11000.0,no,no,no,no,,0.0,no,no,no,no,no,no,no
304689,1976,44,male,african,12,no,mpumalanga,house/flat,4,yes,yes,yes,7.0,12.0,,"R6,001-R12,000",yes,,regular job,operators & assemblers,7.0,12.0,,"R6,001-R12,000",no,,,1.0,,2.0,,no,,,,employment,,,no income decrease,,,8000.0,no,no,no,no,,1.0,,,,,no,no,no
304690,1964,56,male,african,6,,gauteng,house/flat,4,yes,yes,yes,5.0,8.0,0,,yes,,regular job,elementary occup,5.0,8.0,0.0,,no,,,0.0,,0.0,,no,,,,employment,,,from employment,,,0.0,no,no,no,yes,over 4 hours more,1.0,yes,yes,yes,yes,no,no,no
304691,1953,67,male,african,4,,mpumalanga,house/flat,6,yes,yes,retired,,,,,,,,,,,,,,,,3.0,,1.0,,no,,,,employment,government grants,,no income decrease,,,3430.0,no,yes,yes,yes,3-4 hours,2.0,yes,no,yes,no,no,no,yes
304701,1962,58,female,african,11,yes,north west,house/flat,4,yes,yes,no,,,3500,,no,no,,,,,,,,,,,,1.0,,no,,,,own business,government grants,,from own business,,,5200.0,yes,yes,yes,,,,,,,,no,no,no
304703,1989,31,male,african,12,no,north west,house/flat,4,yes,yes,no,,,,,no,no,,,,,,,,no,>1 year ago,0.0,,1.0,,no,,,,employment,,,from employment,,,1500.0,yes,yes,yes,,,,,,,,no,yes,yes
304707,1962,58,male,african,12,no,north west,house/flat,11,yes,yes,yes,5.0,8.0,10000,,yes,,regular job,professionals,5.0,6.0,10000.0,,no,,,2.0,,0.0,,no,,,,employment,,,no income decrease,,,18000.0,no,yes,no,yes,1-2 hours,3.0,yes,yes,no,yes,no,no,no
304709,1978,42,female,african,11,no,north west,house/flat,10,yes,yes,no,,,,,no,no,,,,,,,,,,2.0,,0.0,,no,,,,employment,government grants,,from employment,,,,yes,yes,no,no,,3.0,yes,no,yes,no,no,no,no
304710,1976,44,female,african,12,no,north west,house/flat,9,yes,yes,no,,,,,no,no,,,,,,,,yes,>1 year ago,2.0,,0.0,,no,,,,employment,government grants,,from employment,,,18000.0,yes,yes,no,no,,3.0,yes,yes,yes,yes,no,no,no
304713,1989,31,female,african,10,no,north west,house/flat,,yes,yes,no,,,,,no,no,,,,,,,,,,1.0,,0.0,,no,,,,employment,,,no income decrease,,,8000.0,no,yes,no,,,,,,,,no,no,no
304718,1956,64,female,african,10,yes,north west,house/flat,5,yes,yes,no,,,,,no,no,,,,,,,,no,1-6 months ago,0.0,,0.0,,no,,,,government grants,,,no income,,,,no,no,no,yes,over 4 hours more,1.0,no,no,no,no,no,no,no
304726,1985,35,female,african,12,no,north west,house/flat,3,yes,yes,no,,,,,no,no,,,,,,,,no,>1 year ago,0.0,,0.0,,no,,,,employment,,,no income decrease,,,14000.0,no,yes,yes,yes,over 4 hours more,1.0,yes,yes,yes,yes,no,no,no
304730,1990,30,male,african,12,yes,north west,informal,5,yes,yes,no,,,,,no,no,,,,,,,,yes,>1 year ago,2.0,,,no,no,,,,other,,,no income decrease,,,2900.0,no,no,yes,yes,3-4 hours,1.0,no,no,no,yes,no,no,no
304733,1958,62,male,african,3,,north west,house/flat,6,yes,yes,yes,5.0,8.0,4000,,yes,,regular job,elementary occup,,,,,no,,,2.0,,1.0,,yes,pension,,,government grants,,,from employment,,,,yes,yes,yes,yes,over 4 hours more,2.0,no,yes,yes,,no,no,no
304735,1970,50,male,african,12,yes,north west,house/flat,4,yes,yes,no,,,,,no,yes,regular job,professionals,,,21000.0,,no,,,0.0,,0.0,,no,,,,employment,,,no income decrease,,,21000.0,no,no,no,yes,over 4 hours more,2.0,yes,yes,yes,yes,no,no,no
304745,1988,32,female,african,10,no,north west,house/flat,3,yes,yes,no,2.0,4.0,150,,no,no,,,,,,,,yes,>1 year ago,2.0,,1.0,,no,,,,government grants,,,no income,,,,yes,no,no,no,,2.0,yes,yes,no,no,no,no,no
304754,1962,58,female,african,12,no,north west,house/flat,7,yes,yes,no,5.0,6.0,150,,no,no,,,,,,,,yes,>1 year ago,0.0,,1.0,,no,,,,no income,,,from other,,,150.0,yes,yes,no,yes,over 4 hours more,3.0,yes,yes,yes,yes,no,no,yes
304757,1971,49,female,african,12,no,north west,house/flat,2,yes,yes,no,,,,,no,yes,regular job,service & sales,0.0,0.0,4027.0,,yes,,,0.0,,0.0,,no,,,,employment,,,no income,,,3500.0,no,no,no,,,,,,,,no,no,no
304760,1974,46,female,african,11,no,north west,house/flat,6,yes,yes,no,,,,,no,,,unemployed,,,,,no,,,3.0,,0.0,,no,,,,government grants,,,no income decrease,,,2200.0,yes,yes,no,yes,over 4 hours more,3.0,yes,no,no,yes,no,no,no
304761,1980,40,female,african,no schooling,,north west,house/flat,2,yes,yes,no,,,,,no,yes,casual work,elementary occup,3.0,4.0,1300.0,,no,,,0.0,,0.0,,no,,,,friends/family,,,no income decrease,,,1300.0,no,yes,yes,,,,,,,,no,no,no
304768,1985,35,female,african,10,no,north west,house/flat,5,yes,yes,no,,,,,no,no,,,,,,,,no,>1 year ago,2.0,,1.0,,no,,,,government grants,,,no income decrease,,,,no,yes,no,yes,over 4 hours more,2.0,yes,no,yes,no,no,no,no
304775,1981,39,male,african,12,no,north west,house/flat,7,yes,yes,no,,,,,no,no,,,,,,,,,,2.0,,2.0,,no,,,,government grants,,,no income decrease,,,,no,no,no,yes,over 4 hours more,1.0,yes,yes,yes,no,no,no,no
304777,1992,28,male,african,7,,north west,house/flat,6,yes,yes,no,,,,,no,yes,casual work,elementary occup,5.0,,,,no,,,,yes,0.0,,no,,,,employment,,,from employment,,,,yes,yes,no,yes,over 4 hours more,2.0,no,yes,yes,yes,no,no,no
304792,9999,,female,african,12,yes,gauteng,house/flat,3,yes,yes,no,,,,,no,no,,,,,,,,no,6-12 months ago,1.0,,0.0,,no,,,,government grants,,,no income decrease,,,440.0,no,yes,no,no,,1.0,yes,yes,no,no,no,yes,no
304793,1978,42,male,african,10,no,north west,house/flat,5,yes,yes,yes,6.0,12.0,4100,,no,yes,casual work,service & sales,,,4100.0,,no,,,2.0,,1.0,,no,,,,employment,government grants,,from employment,,,3700.0,yes,yes,no,yes,1-2 hours,2.0,yes,no,yes,no,no,no,no
304801,1987,33,female,african,11,no,limpopo,house/flat,8,no,yes,no,,,,,no,yes,,technicians & assoc prof,2.0,,700.0,,no,,,4.0,,2.0,,no,,,,employment,government grants,,no income decrease,,,,no,yes,no,yes,over 4 hours more,4.0,no,no,no,no,no,no,no
304806,1942,78,female,african,no schooling,,limpopo,house/flat,5,yes,yes,no,,,,,no,no,,,,,,,,,,0.0,,1.0,,yes,pension,,,government grants,,,no income decrease,,,,no,yes,no,yes,1-2 hours,1.0,yes,no,no,no,no,no,no
304809,1986,34,male,african,12,no,northern cape,house/flat,1,no,yes,yes,5.0,8.0,3500,,no,yes,casual work,professionals,,,750.0,,yes,,,0.0,,0.0,,no,,,,employment,,,from employment,,,750.0,yes,no,no,no,,0.0,no,no,no,no,no,no,no
304810,1991,29,male,african,12,no,gauteng,traditional,1,yes,yes,yes,5.0,6.0,350,,yes,,regular job,elementary occup,2.0,6.0,350.0,,no,,,1.0,,0.0,,no,,,,employment,,,from employment,,,350.0,no,no,no,no,,1.0,no,no,no,no,no,no,no
304811,1971,49,female,african,11,yes,limpopo,house/flat,7,no,yes,no,,,,,no,,casual work,elementary occup,0.0,0.0,,,no,,,2.0,,0.0,,no,,,,government grants,,,no income decrease,,,1500.0,no,yes,no,no,,3.0,yes,no,yes,no,no,no,no
304813,1991,29,male,african,12,no,gauteng,informal,1,no,yes,yes,5.0,11.0,6000,,yes,,regular job,clerical support,5.0,11.0,6900.0,,no,,,0.0,,0.0,,no,,,,employment,,,no income decrease,,,6900.0,no,no,no,no,,0.0,no,no,no,no,no,no,no
304815,1966,54,female,african,12,yes,north west,other,1,yes,no,yes,5.0,7.0,18000,,no,,regular job,professionals,5.0,7.0,18000.0,,yes,,,1.0,,0.0,,no,,,,employment,,,from employment,,,18000.0,no,no,no,yes,over 4 hours more,1.0,yes,yes,yes,yes,yes,yes,yes
304823,1981,39,male,african,11,no,limpopo,house/flat,4,no,yes,no,,,,,no,no,,,,,,,,yes,6-12 months ago,,no,2.0,,no,,,,government grants,,,from government grants,,,4000.0,yes,yes,yes,yes,over 4 hours more,1.0,yes,no,no,,no,no,no
304833,1988,32,female,african,12,yes,limpopo,house/flat,5,no,yes,no,,,,,no,no,,,,,,,,no,never worked,2.0,,1.0,,no,,,,no income,,,no income,,,,no,yes,no,yes,over 4 hours more,2.0,yes,yes,no,no,no,no,no
304835,1956,64,female,african,2,,limpopo,traditional,7,yes,yes,no,0.0,0.0,0,,no,,self-employed,,,,,,,,,0.0,,1.0,,yes,pension,,,government grants,,,from government grants,,,1700.0,yes,yes,yes,no,,1.0,yes,yes,yes,no,no,no,no
304841,1987,33,female,african,12,yes,north west,house/flat,5,no,yes,no,7.0,4.0,15,,no,no,,,,,,,,yes,>1 year ago,3.0,,0.0,,no,,,,government grants,,,no income decrease,,,1200.0,yes,yes,yes,yes,over 4 hours more,3.0,yes,yes,yes,no,no,no,no
304843,1982,38,female,african,10,no,north west,house/flat,8,no,yes,yes,4.0,12.0,250,,yes,,regular job,service & sales,4.0,12.0,4700.0,,no,,,2.0,,0.0,,yes,child support,,,employment,,,no income decrease,,,5300.0,no,yes,yes,yes,over 4 hours more,3.0,no,no,no,no,no,no,no
304848,1973,47,female,african,11,no,limpopo,house/flat,6,yes,yes,no,,,,0,no,no,,,,,,,,no,>1 year ago,3.0,,,no,no,,,,employment,,,from employment,,,1200.0,yes,yes,no,yes,over 4 hours more,1.0,yes,yes,no,no,yes,no,yes
304849,1970,50,female,african,9,no,northern cape,house/flat,6,yes,yes,yes,5.0,10.0,2000,,no,no,,,,,,,,no,1-6 months ago,2.0,,0.0,,no,,,,employment,,,no income decrease,,,4000.0,yes,yes,no,no,,2.0,yes,no,yes,no,no,no,no
304850,1993,27,female,african,12,yes,northern cape,house/flat,6,yes,yes,no,2.0,8.0,2500,,no,no,,,,,,,,yes,1-6 months ago,2.0,,0.0,,no,,,,employment,government grants,,from employment,,,1880.0,yes,yes,yes,yes,1-2 hours,2.0,yes,yes,no,yes,no,no,no
304851,1987,33,male,african,12,yes,gauteng,house/flat,1,yes,yes,yes,6.0,9.0,3500,,no,yes,regular job,technicians & assoc prof,,,4500.0,,no,,,0.0,,0.0,,no,,,,employment,,,from employment,,,3500.0,yes,yes,no,no,,0.0,no,no,no,no,no,no,no
304854,1960,60,female,african,12,no,limpopo,house/flat,3,no,yes,yes,6.0,8.0,780,,no,yes,casual work,elementary occup,0.0,0.0,780.0,,no,,,2.0,,0.0,,no,,,,employment,government grants,,no income decrease,,,780.0,no,no,no,yes,over 4 hours more,2.0,yes,yes,no,no,no,no,yes
304855,1990,30,female,african,11,no,limpopo,house/flat,1,yes,yes,yes,6.0,8.0,1000,,no,yes,regular job,service & sales,,,4000.0,,no,,,0.0,,0.0,,no,,,,government grants,,,no income decrease,,,,no,yes,no,yes,over 4 hours more,0.0,no,no,no,no,no,no,no
304861,1975,45,female,african,12,yes,limpopo,house/flat,15,no,yes,no,0.0,0.0,,,no,no,,,,,,,,no,6-12 months ago,4.0,,1.0,,no,,,,employment,,,from friends/family,,,,no,yes,yes,yes,over 4 hours more,4.0,yes,yes,yes,yes,no,no,no
304868,1956,64,female,african,7,,north west,house/flat,4,no,yes,no,,,,,no,,run a business,,,,,,,,,2.0,,1.0,,yes,pension,,,government grants,,,from government grants,,,,yes,yes,yes,yes,1-2 hours,2.0,no,yes,no,yes,no,no,no
304875,1987,33,male,african,12,yes,mpumalanga,house/flat,5,yes,yes,yes,6.0,5.0,3700,,yes,,regular job,elementary occup,6.0,5.0,2200.0,,no,,,0.0,,1.0,,no,,,,own business,,,from other,,,,yes,yes,no,,,,,,,,no,no,no
304891,1983,37,female,african,12,yes,mpumalanga,house/flat,3,yes,yes,yes,5.0,9.0,4500,,no,no,,,,,,,,yes,1-6 months ago,1.0,,0.0,,no,,,,employment,,,from employment,,,0.0,no,no,no,yes,over 4 hours more,2.0,yes,yes,no,yes,no,no,no
304892,1984,36,male,african,12,yes,mpumalanga,house/flat,9,yes,yes,yes,4.0,5.0,5000,,no,,self-employed,,,,,,,,,3.0,,1.0,,no,,,,own business,friends/family,,from own business,,,,yes,yes,yes,yes,1-2 hours,4.0,no,yes,no,no,no,no,no
304894,1990,30,female,african,12,yes,mpumalanga,house/flat,13,yes,yes,yes,5.0,8.0,3800,,yes,,regular job,clerical support,5.0,8.0,3800.0,,no,,,3.0,,2.0,,yes,child support,,,employment,government grants,,no income decrease,,,,no,no,no,yes,1-2 hours,4.0,yes,yes,yes,no,no,no,no
304895,1976,44,female,african,12,no,mpumalanga,house/flat,5,yes,yes,no,,,,,yes,,casual work,elementary occup,5.0,8.0,1800.0,,no,,,1.0,,0.0,,yes,disability,,,government grants,,,no income decrease,,,3900.0,yes,no,no,yes,1-2 hours,0.0,yes,yes,yes,no,no,no,no
304903,1954,66,female,african,4,,free state,house/flat,4,yes,yes,retired,,,,,,,,,,,,,,,,2.0,,1.0,,yes,pension,,,government grants,,,from government grants,,,2900.0,no,no,no,yes,over 4 hours more,2.0,yes,yes,yes,no,yes,no,no
304907,1961,59,female,african,12,yes,free state,house/flat,5,yes,yes,yes,5.0,8.0,,"R12,001-R24,000",no,yes,regular job,professionals,0.0,0.0,,"R12,001-R24,000",no,,,0.0,,1.0,,no,,,,employment,,,no income decrease,,,,no,no,no,no,,1.0,yes,yes,yes,yes,no,no,no
304908,1971,49,female,african,12,yes,free state,house/flat,5,yes,yes,no,,,,,no,no,,,,,,,,,,2.0,,1.0,,yes,disability,,,government grants,,,no income decrease,,,4480.0,no,yes,no,no,,2.0,yes,yes,no,no,no,no,no
304910,1977,43,male,african,11,no,free state,house/flat,4,yes,yes,no,,,,,no,no,,,,,,,,no,1-6 months ago,0.0,,0.0,,no,,,,employment,,,no income decrease,,,11000.0,no,no,no,yes,over 4 hours more,1.0,yes,yes,no,no,no,no,no
304912,1940,80,female,coloured,8,,free state,house/flat,5,yes,yes,retired,,,,,,,,,,,,,,,,2.0,,1.0,,yes,pension,,,government grants,,,no income decrease,,,2500.0,no,yes,no,no,,2.0,yes,yes,no,no,no,no,no
304921,1978,42,male,african,12,no,free state,house/flat,6,yes,yes,yes,5.0,8.0,3000,,no,,self-employed,,,,,,,,,2.0,,0.0,,yes,disability,,,government grants,,,no income decrease,,,2880.0,no,yes,yes,yes,3-4 hours,2.0,yes,yes,no,no,no,no,no
304934,1954,66,female,coloured,6,,free state,house/flat,2,yes,yes,no,,,,,no,no,,,,,,,,,,1.0,,1.0,,no,,,,government grants,,,no income,,,3000.0,no,no,no,yes,over 4 hours more,1.0,no,yes,no,yes,no,no,no
304935,1991,29,female,african,12,yes,free state,house/flat,6,yes,yes,yes,7.0,8.0,,"R3,001-R6,000",yes,,self-employed,,,,,,,,,0.0,,0.0,,no,,,,own business,,,from own business,,,,yes,no,no,yes,over 4 hours more,3.0,yes,yes,no,no,no,no,no
304945,9999,,male,african,no schooling,,free state,house/flat,6,yes,yes,no,,,,,no,yes,casual work,craft & trade,0.0,0.0,0.0,,no,,,3.0,,1.0,,yes,pension,,,government grants,,,from government grants,,,2100.0,no,yes,no,no,,2.0,no,no,yes,no,no,no,no
304957,1975,45,female,african,12,no,free state,house/flat,4,yes,yes,yes,5.0,8.0,1500,,yes,,regular job,elementary occup,5.0,8.0,1500.0,,no,,,2.0,,0.0,,no,,,,employment,government grants,,no income decrease,,,2880.0,no,no,yes,yes,over 4 hours more,1.0,yes,yes,yes,yes,no,no,no
304958,1986,34,female,african,11,no,free state,house/flat,4,yes,yes,yes,6.0,8.0,4000,,yes,,regular job,service & sales,6.0,8.0,5000.0,,no,,,1.0,,1.0,,no,,,,employment,,,no income decrease,,,8000.0,no,no,no,yes,over 4 hours more,2.0,yes,yes,no,yes,no,no,no
304981,1974,46,male,african,12,no,north west,house/flat,1,yes,yes,no,,,,0,no,,,unemployed,,,,,yes,,,,,,,no,,,,no income,,,no income,,,,yes,yes,yes,,,0.0,,,,,no,no,yes
304982,1986,34,female,african,12,no,eastern cape,house/flat,5,no,yes,no,,,,,no,no,,,,,,,,yes,never worked,2.0,,1.0,,no,,,,government grants,,,no income decrease,,,3000.0,no,yes,yes,yes,over 4 hours more,3.0,no,yes,no,no,no,no,yes
304989,1983,37,female,african,10,no,north west,informal,6,no,no,no,2.0,3.0,150,,no,,run a business,,,,,,,,,4.0,,0.0,,no,,,,government grants,,,from own business,,,2500.0,yes,yes,yes,yes,nearly an hour,2.0,yes,yes,yes,yes,no,no,no
304992,1982,38,female,african,11,no,north west,house/flat,9,no,yes,no,0.0,0.0,2700,,no,,,unemployed,0.0,0.0,,,no,,,5.0,,1.0,,no,,,,government grants,,,no income decrease,,,2700.0,no,yes,no,yes,over 4 hours more,5.0,yes,yes,yes,yes,no,no,no
305004,1990,30,female,african,11,no,gauteng,house/flat,5,yes,yes,yes,7.0,8.0,3000,,no,no,,,,,,,,yes,1-6 months ago,3.0,,0.0,,no,,,,employment,,,from employment,,,2500.0,yes,yes,no,no,,2.0,yes,yes,yes,no,no,no,no
305006,1980,40,male,african,10,no,free state,informal,4,yes,yes,yes,5.0,8.0,740,,yes,,regular job,elementary occup,5.0,8.0,,,no,,,1.0,,0.0,,no,,,,employment,government grants,,from employment,,,1180.0,yes,no,no,yes,over 4 hours more,2.0,yes,yes,yes,no,no,no,no
305010,1966,54,female,coloured,12,yes,free state,house/flat,2,yes,yes,yes,5.0,8.0,14000,,no,,regular job,technicians & assoc prof,0.0,0.0,14000.0,,no,,,0.0,,0.0,,no,,,,employment,,,no income,,,14000.0,no,no,no,,,,,,,,no,no,no
305011,1950,70,female,african,10,no,free state,house/flat,1,yes,yes,retired,,,,,,,,,,,,,,,,0.0,,1.0,,yes,pension,,,government grants,,,no income decrease,,,1860.0,no,yes,no,no,,0.0,no,no,no,no,no,no,no
305012,1980,40,female,african,10,no,free state,house/flat,3,yes,yes,no,,,,,yes,,regular job,elementary occup,3.0,6.0,2500.0,,yes,,,2.0,,0.0,,yes,child support,,,government grants,,,no income,,,3200.0,no,yes,no,,,,,,,,no,no,no
305020,1989,31,female,african,12,yes,gauteng,house/flat,4,yes,yes,no,,,,,no,no,,,,,,,,no,never worked,2.0,,0.0,,no,,,,government grants,,,no income decrease,,,900.0,no,no,no,no,,1.0,yes,yes,yes,no,no,yes,no
305021,1984,36,female,african,12,no,gauteng,informal,3,no,no,yes,4.0,8.0,2500,,no,,,,,,,,,no,1-6 months ago,1.0,,0.0,,no,,,,employment,,,from employment,,,1000.0,yes,yes,yes,no,,0.0,,,,,no,no,yes
305034,1983,37,female,african,10,no,limpopo,traditional,5,yes,yes,no,,,,,no,no,,,,,,,,,,3.0,,0.0,,yes,child support,,,government grants,,,from government grants,,,2000.0,yes,yes,yes,yes,nearly an hour,2.0,yes,yes,yes,yes,no,no,no
305047,1984,36,male,african,10,no,mpumalanga,informal,4,no,yes,no,3.0,8.0,750,,no,no,,,,,,,,,,0.0,,0.0,,no,,,,friends/family,,,from friends/family,,,300.0,yes,yes,yes,,,,,,,,no,no,no
305058,1944,76,female,african,7,,north west,house/flat,15,yes,yes,no,,,,,no,no,,,,,,,,no,never worked,0.0,,0.0,,yes,pension,,,no income,,,no income,,,,no,yes,no,,,,,,,,no,no,no
